0.005	0.100
0.010	0.103
0.020	0.106
0.030	0.109
0.040	0.113
0.050	0.118
0.100	0.129
0.110	0.139
0.200	0.145
0.210	0.175
0.250	0.189
0.270	0.196
0.290	0.197
0.290	0.203
0.300	0.181
0.350	0.247
0.400	0.252
0.450	0.206
0.500	0.196
0.550	0.225
0.600	0.281
0.650	0.297
0.700	0.298
0.750	0.292
0.800	0.354
0.850	0.351
0.900	0.401
0.950	0.405
1.000	0.455
1.050	0.555
1.100	0.461
1.150	0.478
1.200	0.465
1.250	0.479
1.300	0.587
1.350	0.555
1.400	0.546
1.450	0.590
1.500	0.601
1.550	0.648
1.600	0.666
1.650	0.657
1.700	0.675
1.750	0.731
1.800	0.714
1.850	1.205
1.900	0.751
1.950	0.769
2.000	0.798
2.050	0.805
2.100	0.803
2.150	0.841
2.200	0.828
2.250	0.784
2.300	0.797
2.350	0.904
2.400	0.874
2.450	0.955
2.500	1.005
2.550	0.987
2.600	1.010
2.650	1.019
2.700	1.042
2.750	1.087
2.800	1.076
2.850	1.096
2.900	1.165
2.950	1.106
3.000	1.115
