0.010	0.006
0.011	0.006
0.012	0.006
0.013	0.006
0.014	0.006
0.015	0.006
0.016	0.005
0.017	0.005
0.018	0.005
0.019	0.006
0.020	0.006
0.021	0.005
0.022	0.005
0.023	0.006
0.024	0.006
0.025	0.006
0.030	0.006
0.035	0.007
0.040	0.006
0.045	0.005
0.050	0.006
0.055	0.006
0.060	0.006
0.065	0.006
0.070	0.007
0.075	0.007
0.080	0.006
0.085	0.006
0.090	0.007
0.095	0.006
0.100	0.008
0.125	0.007
0.150	0.008
0.175	0.009
0.200	0.009
0.225	0.010
0.250	0.011
0.275	0.012
0.300	0.014
0.325	0.012
0.350	0.015
0.375	0.014
0.400	0.017
0.425	0.019
0.450	0.021
0.475	0.021
0.500	0.023
0.550	0.025
0.600	0.034
0.650	0.035
0.700	0.044
0.750	0.050
0.800	0.055
0.850	0.059
0.900	0.078
0.950	0.091
1.000	0.105
1.050	0.122
1.100	0.138
1.150	0.147
1.200	0.157
1.250	0.186
1.300	0.258
1.350	0.251
1.400	0.284
1.450	0.402
1.500	0.465
1.550	0.434
1.600	0.585
1.650	0.718
1.700	0.775
1.750	0.896
1.800	1.008
1.850	1.112
1.900	1.335
1.950	1.629
2.000	1.685
